row_id,fixture_id,gameweek,team,team_short,opponent,opponent_short,venue,official_fdr,goals_for,goals_against,goal_difference,xg,xga,xg_difference,global_gd_quintile,global_xgd_quintile,team_gd_quintile,team_xgd_quintile,pre_match_xg_baseline,xg_factor_vs_team_median,defensive_factor_vs_team_median
186:11,186,19,Leeds,LEE,Liverpool,LIV,A,4,0,0,0,0.69,2.08,-1.3900000000000001,3,5,3,4,1.4791787439613526,0.48083623693379784,0.625
182:5,182,19,Brentford,BRE,Spurs,TOT,H,3,0,0,0,0.92,0.86,0.06000000000000005,3,3,3,3,1.4987439613526572,0.6072607260726073,1.540697674418605
182:18,182,19,Spurs,TOT,Brentford,BRE,A,3,0,0,0,0.86,0.92,-0.06000000000000005,3,3,2,3,1.0378743961352657,0.8349514563106796,1.451086956521739
189:17,189,19,Sunderland,SUN,Man City,MCI,H,4,0,0,0,0.88,2.24,-1.3600000000000003,3,5,3,4,0.9626570048309179,1.0114942528735633,0.6093749999999999
189:13,189,19,Man City,MCI,Sunderland,SUN,A,3,0,0,0,2.24,0.88,1.3600000000000003,3,1,4,2,1.7996135265700486,1.11166253101737,1.1136363636363635
191:2,191,20,Aston Villa,AVL,Nott'm Forest,NFO,H,3,3,1,2,1.59,0.89,0.7000000000000001,1,2,1,1,1.2144133771929826,1.4133333333333333,1.4157303370786516
191:16,191,20,Nott'm Forest,NFO,Aston Villa,AVL,A,4,1,3,-2,0.89,1.59,-0.7000000000000001,5,4,5,4,1.2323300438596492,0.8090909090909091,0.9182389937106917
193:6,193,20,Brighton,BHA,Burnley,BUR,H,1,2,0,2,1.45,0.3,1.15,1,1,1,1,1.5494133771929823,1.0034602076124568,3.933333333333333
193:3,193,20,Burnley,BUR,Brighton,BHA,A,4,0,2,-2,0.3,1.45,-1.15,5,5,4,3,1.027330043859649,0.3468208092485549,1.3793103448275863
200:20,200,20,Wolves,WOL,West Ham,WHU,H,2,3,0,3,1.87,0.25,1.62,1,1,1,1,0.9869133771929826,2.5793103448275865,5.300000000000001
