team,fdr,matches,team_median_xg,mean_xg,median_xg,attack_factor_vs_team_median_xg,team_median_xga,mean_xga,median_xga,defensive_factor_vs_team_median_xga,mean_goal_difference,mean_xg_difference
Burnley,4,7,0.865,0.5328571428571428,0.4,0.616019818331957,2.0,2.415714285714286,2.42,0.8279124778237729,-1.0,-1.8828571428571428
Burnley,5,2,0.865,0.3,0.3,0.3468208092485549,2.0,1.66,1.66,1.2048192771084338,-2.5,-1.3599999999999999
Chelsea,1,2,1.635,2.65,2.65,1.620795107033639,1.2650000000000001,0.51,0.51,2.480392156862745,1.5,2.14
Chelsea,2,5,1.635,2.376,2.7,1.4532110091743118,1.2650000000000001,1.074,1.12,1.1778398510242085,0.8,1.302
Chelsea,3,22,1.635,1.7654545454545456,1.635,1.0797887128162358,1.2650000000000001,1.5068181818181818,1.42,0.8395173453996985,0.18181818181818182,0.2586363636363638
Chelsea,4,7,1.635,1.1014285714285714,0.79,0.673656618610747,1.2650000000000001,1.462857142857143,1.37,0.86474609375,-0.5714285714285714,-0.3614285714285714
Chelsea,5,2,1.635,1.4500000000000002,1.4500000000000002,0.8868501529051989,1.2650000000000001,1.075,1.075,1.1767441860465118,-0.5,0.3750000000000001
Crystal Palace,1,2,1.5550000000000002,1.9,1.9,1.2218649517684885,1.385,1.08,1.08,1.2824074074074074,0.0,0.8200000000000001
Crystal Palace,2,5,1.5550000000000002,1.0059999999999998,0.73,0.6469453376205786,1.385,0.9520000000000002,0.88,1.454831932773109,0.6,0.054000000000000006
Crystal Palace,3,22,1.5550000000000002,1.7186363636363635,1.685,1.1052323881905874,1.385,1.4627272727272727,1.5950000000000002,0.9468614045991299,-0.13636363636363635,0.2559090909090909
Crystal Palace,4,7,1.5550000000000002,1.485714285714286,1.16,0.9554432705558108,1.385,1.5528571428571427,1.19,0.891904323827047,-0.8571428571428571,-0.06714285714285705
Crystal Palace,5,2,1.5550000000000002,0.59,0.59,0.3794212218649517,1.385,1.29,1.29,1.073643410852713,-2.0,-0.7
Everton,1,2,1.065,1.095,1.095,1.028169014084507,1.44,0.76,0.76,1.894736842105263,1.0,0.335
Everton,2,5,1.065,1.036,0.88,0.9727699530516433,1.44,1.188,1.19,1.2121212121212122,-0.2,-0.152
